user_id,created_at,last_seen_at,email,acquisition_source,subscription_plan,plan_status,device_type,plan_start_date,plan_end_date,gender,age_group,age,campaign_id,utm_source,utm_campaign
usr_dddebc1d0fb3,2025-01-24 02:48:00,2025-07-02 03:06:00,gimeunji@example.org,direct,monthly_pro,canceled,web,2025-01-25 02:48:00,2025-02-24 02:48:00,M,20s,22,cmp_003,google,sem24
usr_065a57484a03,2024-12-09 10:08:00,2025-07-19 14:33:00,jaehyeongim@example.org,google_cpc,none,none,android,,,F,60s,84,cmp_003,google,sem24
usr_f14a5d9a25cc,2025-02-10 10:13:00,2025-07-20 04:58:00,caminseo@example.com,google_cpc,monthly_basic,active,web,2025-02-16 10:13:00,,M,30s,32,cmp_002,referral,ref_buddy
usr_37df0d041307,2024-12-25 09:14:00,2025-06-26 21:29:00,jinho62@example.net,facebook_ads,monthly_basic,active,android,2025-01-03 09:14:00,,F,10s,18,cmp_002,referral,ref_buddy
usr_674da8c21a11,2025-02-19 04:39:00,2025-07-21 00:05:00,sanghun25@example.org,referral,annual_basic,active,android,2025-02-27 04:39:00,,F,10s,13,cmp_002,referral,ref_buddy
usr_999627af31c9,2025-01-03 07:00:00,2025-07-13 07:24:00,gimyeongil@example.org,google_cpc,monthly_basic,active,ios,2025-01-11 07:00:00,,M,10s,17,cmp_001,facebook,spring24
usr_76da9e57303d,2025-02-26 08:53:00,2025-07-21 16:23:00,eunju71@example.net,facebook_ads,monthly_pro,active,android,2025-03-07 08:53:00,,F,20s,20,cmp_003,google,sem24
usr_288aedcc1067,2024-12-16 01:28:00,2025-07-19 18:42:00,ci@example.net,referral,monthly_pro,active,android,2025-05-05,,M,60s,108,cmp_002,referral,ref_buddy
usr_7febe0d09c54,2025-01-16 19:18:00,2025-06-17 17:31:00,jihyeon20@example.org,facebook_ads,monthly_basic,canceled,ios,2025-01-19 19:18:00,2025-02-18 19:18:00,M,40s,49,cmp_002,referral,ref_buddy
usr_807a1f553710,2025-02-07 11:21:00,2025-07-20 23:30:00,eunji49@example.net,google_cpc,annual_pro,active,ios,2025-02-10 11:21:00,,M,20s,20,cmp_003,google,sem24
usr_a7975c2edf66,2025-01-12 08:17:00,2025-07-21 04:30:00,seojun48@example.com,facebook_ads,none,none,web,,,M,40s,43,cmp_001,facebook,spring24
usr_97c482c5ea09,2024-12-04 19:23:00,2025-07-19 23:53:00,yejigang@example.net,facebook_ads,monthly_pro,active,web,2024-12-07 19:23:00,,M,60s,65,cmp_001,facebook,spring24
usr_d2d6ba275df9,2025-02-12 11:57:00,2025-07-03 18:57:00,iyujin@example.org,facebook_ads,none,none,android,,,F,40s,48,cmp_003,google,sem24
usr_ec866edec0b6,2025-01-27 09:14:00,2025-07-21 15:32:00,jinhohan@example.com,organic,annual_basic,active,android,2025-04-06,,F,40s,45,cmp_001,facebook,spring24
usr_5ca97cd402a5,2025-02-25 11:47:00,2025-07-21 06:00:00,seonghyeon12@example.net,google_cpc,annual_pro,active,ios,2025-04-02,,F,10s,19,cmp_001,facebook,spring24
usr_75e03c96f3d1,2024-12-26 12:02:00,2025-07-20 13:23:00,ogsungim@example.com,google_cpc,annual_basic,active,ios,2025-01-05 12:02:00,,F,40s,43,cmp_003,google,sem24
usr_2688048a4117,2024-12-17 21:57:00,2025-07-16 13:55:00,jihun27@example.org,direct,monthly_basic,active,web,2024-12-18 21:57:00,,F,40s,43,cmp_001,facebook,spring24
usr_9ffcb6ec8a1e,2024-12-15 21:21:00,2025-07-05 13:01:00,hgim@example.com,referral,annual_pro,active,ios,2024-12-20 21:21:00,,F,10s,12,cmp_002,referral,ref_buddy
usr_ea9ed2e2b68f,2025-01-24 03:30:00,2025-07-18 02:28:00,ji@example.org,organic,monthly_basic,active,web,2025-01-28 03:30:00,,M,20s,20,cmp_003,google,sem24
usr_a96cdbd2f7d3,2024-12-14 00:43:00,2025-07-19 03:11:00,eunju85@example.net,google_cpc,none,none,ios,,,M,20s,28,cmp_002,referral,ref_buddy
usr_8acbb457a6f6,2024-12-29 22:03:00,2025-07-18 14:11:00,subin90@example.org,organic,monthly_basic,active,ios,2025-01-08 22:03:00,,F,10s,18,cmp_002,referral,ref_buddy
usr_32e40e7a8185,2025-02-11 09:54:00,2025-07-20 12:46:00,migyeong83@example.org,direct,monthly_basic,active,android,2025-02-11 09:54:00,,F,30s,37,cmp_003,google,sem24
usr_a8665e3694ba,2025-02-10 13:32:00,2025-07-15 20:24:00,vbag@example.com,organic,annual_basic,active,ios,2025-04-10,,F,40s,44,cmp_001,facebook,spring24
usr_039406094001,2025-01-14 15:12:00,2025-07-12 03:41:00,coejeongsig@example.com,organic,annual_pro,active,android,2025-01-15 15:12:00,,F,10s,17,cmp_002,referral,ref_buddy
usr_b715b3aa97c4,2025-02-20 01:02:00,2025-07-11 17:01:00,jineunseo@example.com,direct,annual_pro,active,ios,2025-02-25 01:02:00,,M,50s,55,cmp_003,google,sem24
usr_0552be864fcc,2025-02-10 22:11:00,2025-07-17 20:09:00,ogjagim@example.com,facebook_ads,none,none,android,,,F,20s,29,cmp_001,facebook,spring24
usr_9a316742794b,2025-02-20 03:03:00,2025-07-20 18:59:00,gimjieun@example.net,referral,monthly_pro,active,ios,2025-03-02 03:03:00,,F,20s,23,cmp_002,referral,ref_buddy
usr_baae86ef556b,2025-02-15 11:50:00,2025-07-10 14:19:00,csim@example.org,facebook_ads,monthly_basic,active,ios,2025-04-19,,F,10s,14,cmp_003,google,sem24
usr_2c88166fe1e7,2024-12-24 08:11:00,2025-07-21 03:56:00,baghayun@example.com,direct,annual_pro,active,android,2025-01-02 08:11:00,,F,30s,31,cmp_003,google,sem24
usr_95bf92fd2b4b,2025-01-22 02:33:00,2025-07-19 15:03:00,yunseoi@example.org,referral,monthly_pro,active,web,2025-01-30 02:33:00,,M,40s,42,cmp_001,facebook,spring24
usr_8874ea1e48ee,2025-02-06 10:01:00,2025-05-15 02:47:00,yujin65@example.com,direct,monthly_pro,canceled,web,2025-02-09 10:01:00,2025-03-11 10:01:00,M,40s,47,cmp_002,referral,ref_buddy
usr_2ded3962c584,2024-12-28 17:03:00,2025-07-16 14:43:00,yeonggilmin@example.org,facebook_ads,monthly_basic,active,web,2024-12-29 17:03:00,,M,50s,50,cmp_003,google,sem24
usr_8d2dcafc885e,2025-02-13 18:29:00,2025-07-16 03:00:00,iyun@example.net,direct,annual_basic,active,android,2025-02-22 18:29:00,,M,50s,58,cmp_001,facebook,spring24
usr_143eb4e10fcc,2025-02-21 01:31:00,2025-05-09 22:04:00,qi@example.com,organic,annual_basic,canceled,android,2025-02-21 01:31:00,2025-03-23 01:31:00,M,40s,42,cmp_001,facebook,spring24
usr_73de8d0587c7,2024-12-23 19:38:00,2025-07-18 03:41:00,minseo56@example.org,facebook_ads,monthly_basic,active,android,2024-12-29 19:38:00,,F,50s,52,cmp_003,google,sem24
usr_a24b501ece0e,2024-12-27 21:22:00,2025-07-21 00:48:00,mo@example.com,facebook_ads,monthly_basic,active,ios,2025-04-02,,M,20s,20,cmp_003,google,sem24
usr_3018e24b9c40,2024-12-06 17:27:00,2025-07-13 05:51:00,gyeongsugheo@example.net,referral,annual_pro,active,ios,2024-12-15 17:27:00,,M,30s,34,cmp_001,facebook,spring24
usr_3889f4a92f7b,2025-02-27 12:15:00,2025-07-14 21:32:00,ohyeonji@example.net,organic,none,none,ios,,,M,10s,17,cmp_003,google,sem24
usr_62d77fcec9bf,2024-12-29 16:33:00,2025-07-19 11:29:00,dsim@example.org,google_cpc,annual_pro,active,web,2025-01-02 16:33:00,,F,10s,19,cmp_003,google,sem24
usr_0cc9fb1300ec,2024-12-11 10:23:00,2025-07-07 21:08:00,munjihu@example.org,direct,annual_basic,active,ios,2024-12-19 10:23:00,,F,50s,53,cmp_003,google,sem24
usr_cc4620bdd9ef,2025-02-28 20:50:00,2025-07-19 17:09:00,jinu08@example.org,google_cpc,monthly_pro,active,web,2025-04-06,,M,10s,11,cmp_003,google,sem24
usr_98c1f50a98ca,2024-12-29 03:50:00,2025-07-07 10:18:00,minsuyang@example.org,direct,none,none,ios,,,F,20s,22,cmp_002,referral,ref_buddy
usr_506097681248,2024-12-31 08:51:00,2025-07-07 04:13:00,gweonareum@example.com,direct,annual_basic,active,web,2025-01-10 08:51:00,,F,40s,42,cmp_001,facebook,spring24
usr_2752111a2aa5,2024-12-22 02:32:00,2025-07-12 11:29:00,jiyeongil@example.org,direct,none,none,android,,,M,10s,13,cmp_003,google,sem24
usr_cdc2f5071815,2024-12-07 19:39:00,2025-07-19 18:44:00,kmin@example.org,google_cpc,annual_basic,active,web,2024-12-14 19:39:00,,F,40s,46,cmp_001,facebook,spring24
usr_71d83cbb8c70,2025-02-22 05:53:00,2025-07-12 17:59:00,gimdoyun@example.com,organic,annual_basic,active,android,2025-02-25 05:53:00,,M,60s,69,cmp_001,facebook,spring24
usr_dc28f112c357,2025-01-01 02:30:00,2025-07-20 12:53:00,hyeonsugno@example.org,referral,annual_basic,active,web,2025-01-01 02:30:00,,M,10s,11,cmp_001,facebook,spring24
usr_3b247c3b7cac,2025-02-16 20:43:00,2025-07-16 18:06:00,haeun96@example.net,google_cpc,none,none,web,,,M,50s,56,cmp_001,facebook,spring24
usr_0453d7f78efe,2025-02-09 05:31:00,2025-07-21 02:01:00,subin10@example.org,organic,annual_basic,active,android,2025-02-10 05:31:00,,M,50s,57,cmp_002,referral,ref_buddy
usr_83af02420ff2,2025-01-06 20:47:00,2025-07-11 22:29:00,donghyeon31@example.com,referral,annual_pro,active,web,2025-01-15 20:47:00,,M,30s,37,cmp_003,google,sem24
usr_099442bd918e,2025-02-23 14:15:00,2025-07-20 02:10:00,jinu68@example.net,facebook_ads,monthly_pro,active,ios,2025-03-04 14:15:00,,M,20s,23,cmp_002,referral,ref_buddy
usr_6be176a6db0f,2025-01-21 06:52:00,2025-07-02 21:21:00,seongmini@example.org,facebook_ads,annual_pro,canceled,ios,2025-01-27 06:52:00,2025-02-26 06:52:00,M,30s,30,cmp_002,referral,ref_buddy
usr_bd4795b3d37d,2025-01-26 20:06:00,2025-07-19 05:17:00,migyeongjin@example.org,referral,annual_basic,active,web,2025-01-29 20:06:00,,M,10s,10,cmp_003,google,sem24
usr_eac7791f64d9,2025-01-08 16:43:00,2025-07-20 02:34:00,sumini@example.com,referral,annual_pro,active,android,2025-01-17 16:43:00,,M,50s,57,cmp_002,referral,ref_buddy
usr_04ae11a6d739,2024-12-26 02:43:00,2025-06-20 16:00:00,rgim@example.net,facebook_ads,none,none,android,,,F,50s,59,cmp_002,referral,ref_buddy
usr_87b693ae14e5,2024-12-28 02:06:00,2025-07-19 08:51:00,myeongsugbae@example.org,direct,annual_pro,active,web,2025-01-07 02:06:00,,F,20s,21,cmp_002,referral,ref_buddy
usr_8106a18afb57,2025-02-04 06:43:00,2025-07-21 13:33:00,icoe@example.org,direct,monthly_pro,active,web,2025-02-04 06:43:00,,F,30s,32,cmp_002,referral,ref_buddy
usr_a5b03ad69fdd,2024-12-09 21:44:00,2025-07-09 00:25:00,gweonseongmin@example.com,referral,annual_basic,active,ios,2024-12-14 21:44:00,,F,50s,56,cmp_001,facebook,spring24
usr_f5769295676e,2025-01-15 10:45:00,2025-07-19 00:48:00,jungsu30@example.org,referral,monthly_pro,active,android,2025-01-20 10:45:00,,F,40s,48,cmp_001,facebook,spring24
usr_5907bd8867f3,2024-12-17 04:57:00,2025-05-24 23:41:00,seoyunha@example.org,referral,annual_basic,canceled,android,2024-12-20 04:57:00,2025-01-19 04:57:00,M,60s,74,cmp_003,google,sem24
usr_1930bb8dc66b,2024-12-04 00:17:00,2025-07-03 06:56:00,hanogja@example.net,organic,annual_basic,canceled,android,2024-12-09 00:17:00,2025-01-08 00:17:00,M,20s,23,cmp_001,facebook,spring24
usr_899dcdfcce58,2024-12-04 23:37:00,2025-07-16 11:08:00,eungyeongi@example.com,google_cpc,none,none,android,,,M,60s,87,cmp_001,facebook,spring24
usr_3f9ae831bec0,2024-12-17 12:34:00,2025-07-05 09:06:00,jihuhan@example.com,direct,annual_pro,active,ios,2024-12-20 12:34:00,,M,10s,19,cmp_003,google,sem24
usr_4cbd5e2d6945,2025-01-29 12:36:00,2025-07-21 05:14:00,iminseog@example.net,direct,monthly_pro,active,web,2025-02-01 12:36:00,,F,10s,11,cmp_002,referral,ref_buddy
usr_c4741909e4b4,2024-12-31 08:48:00,2025-07-18 07:48:00,jieun50@example.net,google_cpc,annual_pro,active,ios,2025-01-01 08:48:00,,F,30s,33,cmp_002,referral,ref_buddy
usr_7e6042dd91a5,2025-01-08 17:07:00,2025-07-15 08:48:00,yeweonbag@example.com,organic,annual_basic,active,web,2025-01-11 17:07:00,,M,40s,41,cmp_002,referral,ref_buddy
usr_2e0591055948,2024-12-31 02:20:00,2025-07-12 11:01:00,seonghyeonjang@example.net,direct,annual_pro,active,web,2025-01-01 02:20:00,,M,40s,41,cmp_002,referral,ref_buddy
usr_2a910075505d,2024-12-24 10:44:00,2025-07-08 14:53:00,ujin28@example.com,facebook_ads,monthly_basic,active,android,2024-12-29 10:44:00,,M,10s,16,cmp_002,referral,ref_buddy
usr_d90ddb7a536f,2024-12-30 23:22:00,2025-07-16 09:47:00,ljin@example.com,direct,annual_basic,active,android,2025-01-04 23:22:00,,M,60s,84,cmp_002,referral,ref_buddy
usr_3da76b72747f,2025-01-23 02:44:00,2025-07-19 03:04:00,aryu@example.com,referral,none,none,android,,,F,30s,32,cmp_003,google,sem24
usr_99e8e1a04df0,2025-02-15 17:53:00,2025-05-29 18:34:00,noeunju@example.net,organic,annual_basic,canceled,android,2025-02-16 17:53:00,2025-03-18 17:53:00,F,50s,54,cmp_001,facebook,spring24
usr_d4c4394e7e65,2025-02-28 06:57:00,2025-07-10 15:58:00,caeweongim@example.net,referral,monthly_basic,active,web,2025-03-01 06:57:00,,M,60s,68,cmp_003,google,sem24
usr_c22cbfd7db85,2025-02-04 06:47:00,2025-07-07 20:25:00,minjae08@example.org,google_cpc,annual_basic,active,web,2025-02-07 06:47:00,,M,50s,53,cmp_001,facebook,spring24
usr_b8e140cf2b87,2025-01-20 08:52:00,2025-07-19 01:58:00,ysong@example.org,facebook_ads,annual_pro,active,web,2025-01-22 08:52:00,,M,10s,18,cmp_003,google,sem24
usr_f0d4370d4ef8,2024-12-31 22:49:00,2025-05-22 17:48:00,eunjugim@example.net,referral,monthly_basic,canceled,android,2025-01-06 22:49:00,2025-02-05 22:49:00,M,40s,42,cmp_002,referral,ref_buddy
usr_88b5c6156bcd,2024-12-05 10:05:00,2025-07-20 16:23:00,mcoe@example.net,direct,monthly_pro,active,android,2025-04-04,,F,10s,16,cmp_003,google,sem24
usr_3f336221b5a7,2025-01-09 06:48:00,2025-07-11 20:59:00,eunji06@example.net,facebook_ads,none,none,android,,,M,60s,66,cmp_003,google,sem24
usr_b0a2666556d2,2025-01-17 23:34:00,2025-07-10 08:50:00,seunghyeon83@example.com,direct,none,none,ios,,,M,60s,106,cmp_002,referral,ref_buddy
usr_77e809b83ec4,2025-01-07 19:26:00,2025-07-19 01:45:00,jiyeonryu@example.org,facebook_ads,monthly_pro,active,web,2025-01-13 19:26:00,,F,60s,70,cmp_003,google,sem24
usr_ddeb94b45d7a,2025-01-19 09:14:00,2025-06-14 09:40:00,sugjason@example.net,google_cpc,monthly_basic,canceled,ios,2025-01-27 09:14:00,2025-02-26 09:14:00,M,30s,33,cmp_001,facebook,spring24
usr_91ad87af93cf,2024-12-21 14:44:00,2025-07-08 17:17:00,gyun@example.net,facebook_ads,none,none,web,,,M,10s,13,cmp_002,referral,ref_buddy
usr_a49ff27bdf58,2025-01-12 11:54:00,2025-06-17 05:02:00,jaehyeonbag@example.org,direct,none,none,ios,,,M,20s,20,cmp_002,referral,ref_buddy
usr_be80dbb0839e,2025-02-16 22:14:00,2025-07-12 20:08:00,bagjeongsu@example.com,direct,annual_basic,active,android,2025-02-25 22:14:00,,F,30s,31,cmp_001,facebook,spring24
usr_f8122f70984d,2025-02-10 07:40:00,2025-07-20 12:47:00,sangceolgim@example.net,direct,none,none,android,,,M,30s,34,cmp_003,google,sem24
usr_acbf5c1ddad6,2024-12-19 12:28:00,2025-07-18 13:09:00,ngim@example.org,facebook_ads,annual_basic,active,android,2024-12-26 12:28:00,,M,50s,52,cmp_003,google,sem24
usr_413a0ed75cbb,2024-12-10 06:41:00,2025-07-20 18:25:00,jangeunju@example.com,referral,monthly_basic,active,ios,2024-12-10 06:41:00,,F,40s,42,cmp_001,facebook,spring24
usr_d540eb4cb491,2025-01-27 23:46:00,2025-07-07 23:29:00,ogsun50@example.com,facebook_ads,none,none,ios,,,F,10s,10,cmp_001,facebook,spring24
usr_299ac1a6b026,2025-02-12 20:17:00,2025-07-21 08:51:00,ujingweon@example.org,organic,monthly_basic,active,ios,2025-04-08,,M,30s,39,cmp_002,referral,ref_buddy
usr_a18057d34185,2025-02-03 16:18:00,2025-07-05 11:03:00,seonyeonggim@example.net,facebook_ads,none,none,web,,,M,50s,56,cmp_001,facebook,spring24
usr_3bad4cec1050,2025-02-24 08:04:00,2025-05-06 13:29:00,gimsubin@example.net,facebook_ads,monthly_basic,canceled,ios,2025-02-27 08:04:00,2025-03-29 08:04:00,F,30s,32,cmp_002,referral,ref_buddy
usr_4a2708556185,2024-12-17 16:41:00,2025-07-20 07:34:00,minjaegim@example.com,organic,annual_basic,active,ios,2025-04-01,,M,20s,21,cmp_002,referral,ref_buddy
usr_796ccc9b09a2,2025-01-01 04:43:00,2025-06-29 22:41:00,jeongsigjo@example.org,organic,monthly_pro,active,web,2025-01-06 04:43:00,,F,40s,41,cmp_001,facebook,spring24
usr_41f1207a5f2f,2025-02-06 11:05:00,2025-07-21 15:45:00,jangyeongsug@example.org,direct,monthly_basic,active,ios,2025-02-14 11:05:00,,F,10s,10,cmp_002,referral,ref_buddy
usr_0dea65f8cf2e,2025-01-12 09:43:00,2025-07-20 02:20:00,jgim@example.net,direct,annual_basic,active,ios,2025-01-21 09:43:00,,F,20s,25,cmp_002,referral,ref_buddy
usr_c176db9a62dc,2024-12-11 03:26:00,2025-06-13 14:17:00,jeongjagim@example.org,facebook_ads,annual_pro,canceled,web,2024-12-15 03:26:00,2025-01-14 03:26:00,F,30s,36,cmp_001,facebook,spring24
usr_3deb64e5d367,2024-12-15 22:24:00,2024-12-15 22:24:00,eunjigo@example.net,facebook_ads,monthly_pro,canceled,ios,2024-12-19 22:24:00,2025-01-18 22:24:00,M,20s,23,cmp_002,referral,ref_buddy
usr_7c851e7274de,2025-02-09 17:49:00,2025-07-11 22:41:00,ji@example.net,direct,none,none,android,,,F,60s,86,cmp_002,referral,ref_buddy
usr_2bccbaccc651,2024-12-07 09:51:00,2025-07-15 10:09:00,imyeongja@example.com,facebook_ads,annual_basic,active,android,2024-12-10 09:51:00,,M,50s,52,cmp_001,facebook,spring24
usr_522bfd21d451,2025-01-10 12:05:00,2025-07-05 20:45:00,gsong@example.net,facebook_ads,monthly_basic,active,web,2025-05-05,,M,40s,49,cmp_001,facebook,spring24
usr_214b4b4703a7,2024-12-07 18:35:00,2025-07-10 18:09:00,gimjaeho@example.com,facebook_ads,annual_basic,active,web,2024-12-13 18:35:00,,M,40s,47,cmp_001,facebook,spring24
usr_1937e17fe723,2024-12-04 12:48:00,2025-07-17 06:18:00,ygim@example.com,organic,monthly_pro,active,web,2024-12-11 12:48:00,,M,50s,59,cmp_003,google,sem24
usr_e1978b07dd81,2024-12-10 14:36:00,2025-06-13 00:37:00,seohyeoncoe@example.com,organic,annual_basic,canceled,ios,2024-12-14 14:36:00,2025-01-13 14:36:00,M,60s,83,cmp_001,facebook,spring24
usr_1a1dbeea681a,2025-01-07 17:23:00,2025-07-17 06:48:00,seohyeon32@example.org,direct,annual_basic,active,android,2025-01-11 17:23:00,,F,50s,55,cmp_003,google,sem24
usr_50b5234fa5fa,2025-02-12 00:46:00,2025-07-19 19:15:00,gimjeonghun@example.org,referral,monthly_basic,active,web,2025-04-02,,F,10s,12,cmp_003,google,sem24
usr_92f3c3dc770f,2025-01-27 09:47:00,2025-07-16 21:55:00,hayuncoe@example.org,referral,none,none,ios,,,F,60s,90,cmp_001,facebook,spring24
usr_076f8cb53774,2024-12-09 03:09:00,2025-07-21 14:47:00,jeonghyii@example.org,organic,annual_pro,active,android,2025-04-30,,F,20s,28,cmp_001,facebook,spring24
usr_a88e7304c6fe,2025-01-16 11:32:00,2025-07-17 13:31:00,ogja56@example.org,direct,annual_pro,active,ios,2025-01-26 11:32:00,,M,40s,49,cmp_001,facebook,spring24
usr_eb7389088eb1,2025-02-08 16:01:00,2025-07-15 08:49:00,gi@example.com,facebook_ads,monthly_pro,active,web,2025-02-17 16:01:00,,F,20s,21,cmp_002,referral,ref_buddy
usr_e29ef74d5b45,2024-12-15 02:57:00,2025-07-19 04:35:00,sunoggim@example.org,organic,annual_pro,active,web,2025-04-15,,F,30s,32,cmp_002,referral,ref_buddy
usr_c1f00d83a4b3,2025-02-20 22:25:00,2025-06-23 16:08:00,yeongsugyu@example.net,referral,monthly_basic,canceled,web,2025-02-21 22:25:00,2025-03-23 22:25:00,M,20s,23,cmp_003,google,sem24
usr_da5889489b60,2024-12-10 13:42:00,2025-07-16 08:50:00,juweon54@example.org,facebook_ads,none,none,web,,,M,40s,48,cmp_002,referral,ref_buddy
usr_a23a36ab5d05,2025-01-03 13:57:00,2025-07-12 14:15:00,isujin@example.com,facebook_ads,annual_basic,active,android,2025-01-07 13:57:00,,F,10s,15,cmp_001,facebook,spring24
usr_d1e5afa206f7,2025-02-07 21:26:00,2025-07-21 05:37:00,jaeho15@example.net,google_cpc,annual_pro,active,web,2025-02-12 21:26:00,,M,60s,73,cmp_002,referral,ref_buddy
usr_c32f7c096f45,2025-02-13 03:31:00,2025-07-12 19:15:00,ii@example.com,google_cpc,annual_basic,active,web,2025-02-20 03:31:00,,F,60s,81,cmp_001,facebook,spring24
usr_5ed1f3756a5a,2024-12-15 08:49:00,2025-07-14 10:32:00,yeongsiggim@example.com,referral,annual_basic,active,web,2024-12-23 08:49:00,,M,50s,52,cmp_002,referral,ref_buddy
usr_63264434c6e3,2024-12-11 12:30:00,2025-07-21 08:38:00,jungsuyun@example.org,organic,annual_pro,active,web,2024-12-19 12:30:00,,F,20s,26,cmp_002,referral,ref_buddy
usr_e48f693a4be6,2025-01-02 07:55:00,2025-07-16 23:09:00,iseonyeong@example.net,organic,none,none,web,,,F,20s,27,cmp_001,facebook,spring24
usr_1f6d18305dcb,2024-12-29 19:46:00,2025-07-18 10:43:00,iseongmin@example.org,google_cpc,monthly_pro,active,android,2025-01-07 19:46:00,,M,60s,111,cmp_002,referral,ref_buddy
usr_64db1ef9b498,2025-01-28 10:38:00,2025-07-18 14:18:00,ijeongja@example.com,organic,annual_pro,active,android,2025-01-31 10:38:00,,M,40s,44,cmp_001,facebook,spring24
usr_e254ff7eba11,2025-01-21 16:24:00,2025-07-03 19:35:00,jimingim@example.net,facebook_ads,monthly_basic,canceled,android,2025-01-22 16:24:00,2025-02-21 16:24:00,M,50s,59,cmp_001,facebook,spring24
usr_89c5aea5d98c,2024-12-08 22:22:00,2025-07-21 01:58:00,sujingim@example.com,referral,monthly_basic,active,ios,2024-12-09 22:22:00,,M,40s,46,cmp_001,facebook,spring24
usr_668d241ec544,2025-02-15 11:56:00,2025-07-19 18:46:00,yeongsug18@example.org,google_cpc,monthly_basic,active,android,2025-02-23 11:56:00,,M,40s,40,cmp_003,google,sem24
usr_bbc283abaf3e,2025-01-31 05:52:00,2025-07-10 11:53:00,pheo@example.net,direct,annual_pro,active,ios,2025-02-02 05:52:00,,M,30s,31,cmp_002,referral,ref_buddy
usr_02759307b609,2025-02-16 15:45:00,2025-07-18 05:48:00,jongsugim@example.org,google_cpc,monthly_basic,active,android,2025-02-18 15:45:00,,M,10s,17,cmp_002,referral,ref_buddy
usr_3cf39c10fc08,2025-01-15 08:58:00,2025-07-08 00:45:00,yeji88@example.org,direct,none,none,ios,,,F,50s,58,cmp_001,facebook,spring24
usr_4fee8ba5b37c,2024-12-16 15:15:00,2025-07-13 20:01:00,seonghun42@example.com,organic,none,none,ios,,,F,20s,28,cmp_002,referral,ref_buddy
usr_5f2f3744d42d,2025-02-21 17:59:00,2025-06-19 10:46:00,yeongsun00@example.com,facebook_ads,annual_pro,canceled,web,2025-02-26 17:59:00,2025-03-28 17:59:00,F,20s,28,cmp_002,referral,ref_buddy
usr_faa57c1d1ee3,2025-02-19 15:14:00,2025-02-19 15:14:00,wcoe@example.org,organic,annual_basic,canceled,ios,2025-02-25 15:14:00,2025-03-27 15:14:00,M,50s,59,cmp_001,facebook,spring24
